Сверка блока ЦЕНЫ: Telegram (parse_post) ↔ HTML (.price-card__seasons / __notes)

Квартиры: {'OK': 59}

=== КВАРТИРЫ ===
- afina-kvartira-2k-1488 (@abhkvartira/1488): OK (tg=2, site=2, notes_diff=False)
- mimoza-3k-kvartira-1499 (@abhkvartira/1499): OK (tg=5, site=5, notes_diff=False)
- mira-dom-suhum-1345 (@abhkvartira/1336): OK (tg=3, site=3, notes_diff=False)
- miya-dom-ldzaa-1183 (@abhkvartira/1178): OK (tg=5, site=5, notes_diff=False)
- mokko-apartamenty-suhum-1024 (@abhkvartira/1016): OK (tg=7, site=7, notes_diff=False)
- mon-amur-kvartira-1k-gagra-1062 (@abhkvartira/1055): OK (tg=5, site=5, notes_diff=False)
- monro-kvartira-3k-suhum-1386 (@abhkvartira/1378): OK (tg=5, site=5, notes_diff=False)
- moreon-kvartira-2k-pitsunda-1391 (@abhkvartira/1046): OK (tg=6, site=6, notes_diff=False)
- na-plyazhe-apartamenty-3k-ldzaa-1073 (@abhkvartira/1064): OK (tg=6, site=6, notes_diff=False)
- na-vremya-v-rayu-zhile-pod-klyuch-1522 (@abhkvartira/1522): OK (tg=4, site=4, notes_diff=False)
- na-vysote-kvartira-pitsunda-1053 (@abhkvartira/1053): OK (tg=6, site=6, notes_diff=False)
- nasta-apartamenty-studiya-ldzaa-1264 (@abhkvartira/1255): OK (tg=4, site=4, notes_diff=False)
- nonna-kvartira-2k-1576 (@abhkvartira/1576): OK (tg=4, site=4, notes_diff=False)
- palma-kvartira-3k-ldzaa-1080 (@abhkvartira/1075): OK (tg=6, site=6, notes_diff=False)
- parkovaya-kvartira-2k-suhum-1292 (@abhkvartira/1284): OK (tg=6, site=6, notes_diff=False)
- perl-dom-pod-klyuch-gudauta-1092 (@abhkvartira/1083): OK (tg=6, site=6, notes_diff=False)
- peschanyy-bereg-novye-apartamenty-suhum-mokko-1407 (@abhkvartira/1401): OK (tg=5, site=5, notes_diff=False)
- pitiunt-kvartira-4k-pitsunda-1428 (@abhkvartira/1420): OK (tg=5, site=5, notes_diff=False)
- rimma-dve-1k-kvartriry-suhum-1118 (@abhkvartira/1113): OK (tg=4, site=4, notes_diff=False)
- sanset-kvartira-1k-ldzaa-1101 (@abhkvartira/1093): OK (tg=3, site=3, notes_diff=False)
- sekret-garden-apartamenty-1465 (@abhkvartira/1465): OK (tg=9, site=9, notes_diff=False)
- semeynaya-kvartira-2k-1104 (@abhkvartira/1104): OK (tg=10, site=10, notes_diff=False)
- siti-gagra-kvartira-2k-gagra-1242 (@abhkvartira/1233): OK (tg=4, site=4, notes_diff=False)
- solnechnaya-kvartira-2k-pitsunda-1231 (@abhkvartira/1222): OK (tg=9, site=9, notes_diff=False)
- studio-san-amra-studiya-na-plyazhe-1511 (@abhkvartira/1511): OK (tg=3, site=3, notes_diff=False)
- suhum-dom-1153 (@abhkvartira/1153): OK (tg=5, site=5, notes_diff=False)
- tihaya-buhta-apartamenty-na-5-spalnyh-mest-s-vidom-na-goru-ldzaa-1142 (@abhkvartira/1133): OK (tg=6, site=6, notes_diff=False)
- tihaya-obitel-dom-pod-klyuch-1477 (@abhkvartira/1477): OK (tg=1, site=1, notes_diff=False)
- tsentralnyy-dom-suhum-1220 (@abhkvartira/1220): OK (tg=1, site=1, notes_diff=False)
- viktoriya-kvartira-2k-pitsunda-951 (@abhkvartira/941): OK (tg=3, site=3, notes_diff=False)
- villa-suhum-959 (@abhkvartira/952): OK (tg=7, site=7, notes_diff=False)
- yuzhnoe-utro-apartamenty-na-6-spalnyh-mest-s-vidom-na-more-ldzaa-1152 (@abhkvartira/1143): OK (tg=6, site=6, notes_diff=False)

